Date,Open,High,Low,Close,Volume,OpenInt
2005-11-16,16.492,16.627,16.492,16.627,3958,0
2005-11-17,16.781,16.883,16.781,16.883,13330,0
2005-11-18,16.974,16.974,16.944,16.944,4283,0
2005-11-21,17.097,17.097,16.982,17.019,1987,0
2005-11-22,16.937,17.113,16.912,17.113,10273,0
2005-11-23,17.165,17.174,17.165,17.165,1167,0
2005-11-25,16.827,17.076,16.827,17.036,2342,0
2005-11-28,16.574,17.051,16.574,17.006,15556,0
2005-11-29,17.044,17.044,17.027,17.044,7082,0
2005-11-30,17.006,17.006,16.929,16.929,777,0
2005-12-01,17.19,17.221,17.076,17.221,5268,0
2005-12-02,16.781,17.221,16.781,17.198,3191,0
2005-12-05,17.336,17.336,17.237,17.262,46325,0
2005-12-06,17.368,17.446,17.368,17.391,40088,0
2005-12-07,17.406,17.406,17.198,17.213,3667,0
2005-12-08,17.36,17.368,17.268,17.352,3590,0
2005-12-09,17.36,17.376,17.352,17.368,3110,0
2005-12-12,17.49,17.576,17.49,17.552,9340,0
2005-12-13,17.383,17.63,17.383,17.63,5738,0
2005-12-14,17.721,17.721,17.623,17.623,5455,0
2005-12-15,17.446,17.446,17.446,17.446,1167,0
2005-12-16,17.675,17.675,17.515,17.515,4997,0
2005-12-19,17.528,17.528,17.453,17.461,5357,0
2005-12-20,17.398,17.398,17.398,17.398,1336,0
2005-12-21,17.675,17.675,17.398,17.398,6117,0
2005-12-22,17.483,17.483,17.453,17.453,3697,0
2005-12-27,17.406,17.406,17.398,17.398,2379,0
2005-12-28,17.623,17.623,17.453,17.453,6722,0
2005-12-29,17.522,17.522,17.515,17.515,1559,0
2005-12-30,17.213,17.398,17.213,17.398,10269,0
2006-01-03,17.675,17.924,17.675,17.908,19790,0
2006-01-04,17.993,18.124,17.993,18.124,9343,0
2006-01-05,18.4,18.4,18.053,18.077,29222,0
2006-01-06,18.232,18.369,18.232,18.332,20356,0
2006-01-09,18.64,18.64,18.232,18.277,24560,0
2006-01-10,18.378,18.378,18.036,18.131,11129,0
2006-01-11,18.185,18.271,18.177,18.271,1850,0
2006-01-12,18.283,18.283,18.091,18.1,6692,0
2006-01-13,18.232,18.232,18.07,18.153,79675,0
2006-01-17,18.216,18.216,18.029,18.07,18963,0
2006-01-18,17.313,17.969,17.313,17.863,25528,0
2006-01-19,17.96,18.077,17.946,18.036,6414,0
2006-01-20,18.232,18.232,17.799,17.799,89619,0
2006-01-23,18.084,18.1,18.023,18.1,26159,0
2006-01-24,18.199,18.199,18.029,18.07,16190,0
2006-01-25,18.16,18.185,18.116,18.146,4865,0
2006-01-26,18.316,18.369,18.316,18.347,8948,0
2006-01-27,18.454,18.454,18.355,18.416,12397,0
2006-01-30,18.416,18.416,18.362,18.409,4396,0
2006-01-31,18.416,18.539,18.416,18.539,4318,0
2006-02-01,18.64,18.64,18.378,18.539,9416,0
2006-02-02,18.616,18.616,18.292,18.309,10292,0
2006-02-03,18.16,18.24,17.552,18.24,3953,0
2006-02-06,18.146,18.177,18.146,18.177,2045,0
2006-02-07,18.061,18.061,18,18,5060,0
2006-02-08,17.993,18.084,17.969,18.084,4233,0
2006-02-09,18.208,18.232,18.208,18.232,2335,0
2006-02-10,18.232,18.232,18.131,18.177,4373,0
2006-02-13,18.177,18.199,18.091,18.131,7268,0
2006-02-14,18.053,18.232,17.924,18.232,12777,0
2006-02-15,18.153,18.153,18.091,18.091,8948,0
2006-02-16,18.208,18.232,18.208,18.232,1559,0
2006-02-17,18.271,18.292,18.254,18.292,2335,0
2006-02-21,18.323,18.347,18.323,18.347,777,0
2006-02-22,18.423,18.423,18.423,18.423,389,0
2006-02-23,18.423,18.423,18.369,18.378,7729,0
2006-02-24,18.34,18.416,18.34,18.378,11693,0
2006-02-27,18.493,18.748,18.301,18.378,4321,0
2006-02-28,18.283,18.283,18.16,18.185,57421,0
2006-03-01,18.301,18.369,18.301,18.369,9922,0
2006-03-02,18.369,18.369,18.301,18.309,15488,0
2006-03-03,18.384,18.431,18.384,18.431,7822,0
2006-03-06,18.525,18.525,18.378,18.378,3623,0
2006-03-07,18.347,18.347,18.146,18.177,6811,0
2006-03-08,18.016,18.199,18.016,18.16,9847,0
2006-03-10,18.246,18.447,18.246,18.447,1949,0
2006-03-13,18.64,18.64,18.586,18.601,18990,0
2006-03-14,18.593,18.839,18.593,18.816,2603,0
2006-03-15,18.947,18.947,18.839,18.924,2917,0
2006-03-16,18.878,19.056,18.878,19.056,9113,0
2006-03-17,19.056,19.056,18.979,18.994,6132,0
2006-03-20,18.994,18.994,18.924,18.956,3256,0
2006-03-21,18.863,18.863,18.77,18.77,3745,0
2006-03-22,18.77,18.964,18.77,18.964,11368,0
2006-03-23,18.895,18.895,18.748,18.77,3307,0
2006-03-24,18.648,18.924,18.648,18.895,3408,0
2006-03-27,19.056,19.056,18.742,18.778,35022,0
2006-03-28,19.085,19.085,18.663,18.663,16228,0
2006-03-29,18.586,18.786,18.586,18.778,17573,0
2006-03-30,18.671,19.094,18.671,19.034,14662,0
2006-03-31,18.91,18.91,18.847,18.887,155321,0
2006-04-03,19.108,19.108,18.939,19.049,9888,0
2006-04-04,18.895,19.202,18.895,19.202,5033,0
2006-04-05,19.025,19.31,19.025,19.31,1789,0
2006-04-06,19.218,19.256,19.172,19.256,14499,0
2006-04-07,19.018,19.018,19.009,19.009,3697,0
2006-04-10,18.847,19.094,18.762,19.094,14325,0
2006-04-11,19.27,19.27,18.895,18.895,11172,0
2006-04-12,18.916,18.916,18.878,18.878,802,0
2006-04-13,18.847,18.964,18.847,18.964,86835,0
2006-04-17,19.125,19.156,19.108,19.108,10937,0
2006-04-18,19.218,19.389,19.218,19.389,5545,0
2006-04-19,19.612,19.65,19.431,19.65,6528,0
2006-04-20,19.587,19.632,19.587,19.587,4364,0
2006-04-21,19.759,19.759,19.674,19.718,6094,0
2006-04-24,19.759,19.759,19.674,19.759,3918,0
2006-04-25,19.766,19.766,19.703,19.703,1559,0
2006-04-26,19.849,19.849,19.75,19.75,5344,0
2006-04-27,19.75,19.796,19.733,19.796,2722,0
2006-04-28,19.879,19.912,19.872,19.896,20151,0
2006-05-01,20.158,20.158,19.935,19.935,68610,0
2006-05-02,20.18,20.188,20.105,20.188,14341,0
2006-05-03,20.281,20.281,19.912,19.949,7232,0
2006-05-04,20.098,20.122,19.99,20.122,9003,0
2006-05-05,20.287,20.421,20.287,20.421,23856,0
2006-05-08,20.581,20.581,20.342,20.365,8061,0
2006-05-09,20.46,20.489,20.365,20.489,8276,0
2006-05-10,20.743,20.743,20.436,20.475,10817,0
2006-05-11,20.428,20.428,20.273,20.273,8930,0
2006-05-12,20.273,20.822,19.981,19.997,15242,0
2006-05-15,19.904,19.904,19.626,19.718,12529,0
2006-05-16,19.888,19.904,19.773,19.888,6952,0
2006-05-17,19.65,19.71,19.156,19.218,88043,0
2006-05-18,19.408,19.408,19.172,19.172,30354,0
2006-05-19,19.133,19.241,19.101,19.202,7262,0
2006-05-22,18.971,19.018,18.715,19.018,16319,0
2006-05-23,19.133,19.31,19.064,19.064,12455,0
2006-05-24,18.808,19.041,18.648,18.956,18080,0
2006-05-25,19.156,19.318,19.133,19.31,6643,0
2006-05-26,19.612,19.612,19.297,19.426,10970,0
2006-05-30,19.333,19.333,19.116,19.125,7298,0
2006-05-31,19.133,19.297,19.133,19.256,14430,0
2006-06-01,19.248,19.408,19.248,19.402,10277,0
2006-06-02,19.579,19.579,19.471,19.556,12765,0
2006-06-05,19.556,19.556,19.194,19.194,9767,0
2006-06-06,19.248,19.248,18.903,19.009,19209,0
2006-06-07,18.924,19.085,18.872,18.872,31525,0
2006-06-08,18.816,18.816,18.16,18.562,58734,0
2006-06-09,18.624,18.677,18.454,18.525,5020,0
2006-06-12,18.525,18.525,18.254,18.254,13716,0
2006-06-13,18.224,18.224,17.784,17.87,48178,0
2006-06-14,17.863,18.1,17.63,18.07,7510,0
2006-06-15,18.4,18.601,18.283,18.601,12159,0
2006-06-16,18.431,18.762,18.07,18.138,7629,0
2006-06-19,18.053,18.124,18.036,18.036,4283,0
2006-06-20,18.036,18.216,18.036,18.16,4145,0
2006-06-21,18.232,18.447,18.232,18.447,3890,0
2006-06-22,18.283,18.323,18.232,18.292,9113,0
2006-06-23,18.146,18.323,18.146,18.262,9380,0
2006-06-26,18.185,18.323,18.185,18.323,5213,0
2006-06-27,18.4,18.4,18.077,18.091,10409,0
2006-06-28,18.16,18.208,18.16,18.185,6317,0
2006-06-29,18.301,18.786,18.301,18.786,7673,0
2006-06-30,18.947,19.034,18.947,19.034,11653,0
2006-07-03,19.303,19.303,19.085,19.202,14595,0
2006-07-05,19.202,19.202,18.824,18.971,9672,0
2006-07-06,19.078,19.116,19.078,19.116,4740,0
2006-07-07,19.133,19.202,19.064,19.094,107429,0
2006-07-10,18.971,19.149,18.964,19.101,28903,0
2006-07-11,19.241,19.241,18.939,19.172,12270,0
2006-07-12,18.939,19.009,18.847,18.878,9430,0
2006-07-13,18.839,18.839,17.515,18.539,42774,0
2006-07-14,18.493,18.493,18.355,18.454,2078,0
2006-07-17,18.169,18.224,17.715,18.153,7688,0
2006-07-18,18.517,18.517,18.077,18.193,2853,0
2006-07-19,18.138,18.715,18.138,18.715,6176,0
2006-07-20,18.762,18.762,18.593,18.593,11331,0
2006-07-21,18.571,18.64,18.533,18.533,5096,0
2006-07-24,18.709,18.939,18.709,18.916,32763,0
2006-07-25,18.903,18.956,18.808,18.924,66674,0
2006-07-26,18.863,19.101,18.847,19.049,10272,0
2006-07-27,19.248,19.288,19.072,19.078,22851,0
2006-07-28,19.27,19.449,19.27,19.431,7681,0
2006-07-31,19.465,19.658,19.297,19.365,9230,0
